name,mission
"
Fondation Lord Michelham of Hellingly ","
help for needy old age and disabled people; assistance in technological training and research in all sectors of the economy so as to assist the development efforts of underdeveloped countries.
"
"
Pere Patrick Fondation ","
The  Father Patrick Foundation  is an international philanthropic charity with a humanitarian, educational, cultural and artistic vocation. Its purpose is to support: i) humanitarian and social action; (ii) education, schooling and training; (iii) art, culture and heritage; iiii) the construction and renovation of schools, university residences and medical centres; iiiii) the organization of an annual concert for the charitable benefit of the foundation. Within the framework of the goals set, the foundation works in Switzerland and abroad. The foundation is non-profit and does not seek any gain. The founder expressly reserves the right to change the purpose under Article 86a of the Swiss Civil Code.
"
"
HBM Stiftung zur Schaffung und Forderung einer Unternehmerschule an der Universitat St. Gallen ","
Provision of financial resources for the creation and promotion of an entrepreneurial school at the University of St. Gallen.
"
"
ECLOF International ","
Provide, outside Switzerland, appropriate assistance, financial or otherwise, to Churches or institutions which work for the life of the Church in the event that satisfactory sources of funding are not available, appropriate assistance, financial or other, intended to promote human development in general and, in particular, to promote social and economic justice, self-sufficiency and the eradication of poverty.
"
"
Brofman Foundation for the Advancement of Healing ","
foster any healing process as a concept, popularize, promote and disseminate the teaching of work and philosophies developed by Mr. Martin Brofman, among others: the  Body Mirror System  ( System of the Body-Mirror  ) and  A Vision Workshop  to develop the study, research and practice of healing technologies.
"
"
Swiss Foundation for Pediatric Dermatology (SFPD) ","
The purpose of the foundation is to promote and support scientific research, as well as the optimization of the care of patients and their families in the field of pediatric dermatology. The meaning and purpose of the Swiss Foundation for Pediatric Dermatology are to promote: 1) knowledge: raise awareness and inform the public and health professionals on pediatric skin conditions and on skin health in children. 2) exchange of information: fostering an exchange of information between health professionals in the field of pediatrics, patients, their parents, patient organizations, their parents, patient organizations and other groups related to the field of pediatric dermatology. 3) scientific research: promote and develop scientific research and the management of skin diseases in children of all ages. 4) collaboration: promote collaboration between physicians and other health professionals from different sub-specialties to optimize the management of complex cases in pediatric dermatology. 5) quality of life: improve support structures for patients and their families, due to the significant psycho-social and economic repercussions of skin diseases on the lives of patients and their families. The founder expressly reserves the right to have the goal modified by the supervisory authority, in application of article 86a CC.
"
"
Institut d'Etudes Immobilieres ","
maintain, in close relations with the University of Geneva, an autonomous institution intended to enable students to acquire, at the highest level, the skills necessary to exercise any profession related to the real estate economy.
"
"
Israelitisches Lehrhaus ","
Teaching and dissemination of Jewish religious writings.
"
"
Pierre M. Montavon Foundation for Education in Veterinary Surgery ","
The purpose of the Foundation is to support educational programs for veterinarians worldwide, with the Foundation's primary interest being in canine hip surgery. The foundation has no commercial purpose. It is non-profit and does not aim for profit. Any ancillary activities are only performed to achieve the main purpose.
"
"
Stiftung Eschkapelle ","
Preservation, promotion, upgrading and maintenance of the Esch Chapel in Ruswil and the associated cult and art objects as a whole; Provision of the Esch Chapel for Roman Catholic, Christian and ecumenical services, devotions, pilgrimage occasions, sacramentary donations, prayer and retreat days, baptism, wedding and farewell celebrations as well as for cultural events that fit in the chapel, such as readings, concerts and celebrations and the like.
"
"
Stiftung Wiitblick der Evangelischen Kirchgemeinde Altstatten ","
The purpose of the foundation is to take over and compensate for project-related expenses in the canton of St. Gallen that are not included in the regular budget of the Evangelical Parish Altstatten. The foundation is based on the Christian faith and the scriptures of the Bible form its basis. Projects in the canton of St. Gallen that are supported by the foundation have a charitable, social and / or cultural character. Socially disadvantaged people should also be integrated into social life by promoting social skills, personal responsibility and trust in their own strengths. These projects are open to everyone, regardless of age, denomination or religious affiliation. The foundation is not for profit and does not seek a profit.
"
"
Christian Nativity Stiftung ","
Financial support for people and institutions that are dedicated to promoting the Christian way of life and expressing their Christian attitude through charitable services to others in the field of social, medical and educational care.
"
"
Odd Fellow-Stiftung Baar ","
Support of fellow human beings in distress as well as promotion and support of people or non-profit organizations that are primarily active in the humanitarian, social or cultural field
"
"
The ICRC MoveAbility Foundation, en liquidation ","
assist the physically handicapped by ensuring the continuation of ICRC projects in the field.
"
"
Hermine Zully-Stiftung ","
Support for needy families and individuals residing in the canton of Lucerne; Support for underemployed students as well as apprentices and apprenticeships residing in the canton of Lucerne; Support for church and non-profit institutions based in the canton of Lucerne.
"
"
T.E.S. Foundation ","
Teaching of eye surgery in the countries of the Indian Ocean, acquisition and provision of medical equipment in this field.
"
"
Comunita Incontro ","
Promote and support assistance to drug addicts and to those who are marginalized, abandoned and in particular conditions of need, favoring their social reintegration. In particular, the foundation promotes the creation of Don Pierino Gelmini's therapeutic communities, supports and manages their activities in the territory of the Swiss Confederation, especially in the Canton of Ticino, without prejudice to full methodological and disciplinary autonomy for these communities.
"
"
Pro Vrin ","
The purpose of the foundation is to promote the well-being of the people of Vrin, to preserve and maintain the settlements and countryside in the Vrin municipality. The foundation can collaborate with other organizations and institutions that pursue the same or similar goals in Vrin.
"
"
Stiftung Nachbar in Not ","
To help people in need in Upper Valais primarily through financial contributions. Exceptionally, the help can also be given to people living outside of the Upper Valais.
"
"
Fondation Bindschedler pour la promotion de l'art de la marionnette ","
promote the art of puppetry, in particular by bringing to life the Swiss Museum of Puppetry, created in 1983, as well as the Theatre des Marionnettes in Friborg.
"
"
Stiftung OKK ","
The foundation promotes the implementation of social health insurance (according to KVG) and accident insurance (according to UVG) and supplementary insurance in these and related areas. Its purpose is to build up and hold shares in service companies in the healthcare sector, including insurers and reinsurers in the areas of health insurance, accident insurance and related areas. It can also participate in insurance consulting and claims settlement companies. Participations can also be sold within the scope of the purpose pursuit.
"
"
Fondation St.-Jean ","
Maintenance (building structures), renovation and restoration of the St.-Jean Temple in La Chaux-de-Fonds.
"
"
Victory NET Foundation ","
Encourage, promote and support, in Switzerland or in any country whatsoever, research, treatment and transmission of knowledge as well as scientific exchanges in the field of neuroendocrine tumors (cf. deed of foundation for complete purpose).
"
"
VP Bank AG ","
VP Bank in Vaduz is the parent company of the VP Bank group and one of the largest banks in Liechtenstein.
Commitment and progress - Guido Feger, the founder of VP Bank, lived this business philosophy more than 60 years ago. More than 600 employees at the Liechtenstein headquarters of the VP Bank Group follow the same principles today. In the two buildings in Vaduz and Triesen, the employees personally and competently take care of the demanding and individual needs of our customers.
Since it was founded in Liechtenstein in 1956, VP Bank has developed from a small bank to an international banking group and is now one of the largest banks in the Liechtenstein financial center. We develop tailor-made financial solutions for intermediaries and private customers thanks to specialized knowledge and excellent networking. We build on our many years of experience and strength in looking after demanding customers.
"
"
Stiftung Heidi Jakob ","
Support for needy, single people, primarily in Eastern Switzerland, but not limited to this region.
"
"
Stiftung FIAS (Fruhintervention bei autistischen Storungen) ","
Promotion and implementation of early interventions in children with autism spectrum disorders, preferably according to the so-called Mifne therapy method developed by Ms. Hanna Alonim, support for families of children with autism spectrum disorders by including family members in the treatment, promotion of teaching and research and scientific exchange in the field of early intervention in children with autism spectrum disorders, awarding of scholarships for young scientists who are dedicated to researching the causes and treatment options of autism spectrum disorders in childhood, public relations work to deepen the understanding of Causes and treatment options for autism spectrum disorders and all activities that promote the purpose of the foundation. The foundation can run therapy centers, support them or participate in therapy centers in any other form that is suitable for promoting the purpose of the foundation. It can make contributions towards the costs of the early treatment of autistic children for the benefit of those in need. It can acquire, hold and sell real estate.
"
"
Fondation genevoise de bienfaisance  Valeria Rossi di Montelera  ","
to provide assistance to lay or ecclesiastical persons and institutions pursuing charitable and public utility objectives in Geneva and outside Geneva; encourage artistic and scientific production, in particular by granting grants.
"
"
Stiftung KinderInsel Bern ","
The purpose of the foundation is to improve health care for children and adolescents in the canton of Bern and neighboring regions by promoting child and adolescent medicine in the Inselspital Bern. In this context, the foundation promotes, among other things, the infrastructure, the support of families of sick children, research, teaching and science, advanced training and digitization in the field of pediatric and adolescent medicine. The foundation can also support institutions primarily concerned with the foundation's purpose. The foundation's profit and capital are exclusively dedicated to the aforementioned purposes. Commercial purposes are excluded.
"
"
Forderstiftung Musik und Musikschule Konservatorium Zurich ","
The purpose of the foundation is to support projects, ensembles, choirs and orchestras of the  Music School Zurich Conservatory  and support their students. It supports the  Musikschule Konservatorium Zurich  as a competence center for musical education in an ideal and material way through contributions or sponsorship awards. With regard to the assets of the former Lillyan Ziegler Foundation, which the Foundation took over in accordance with Art. 3 Paragraph 2 of this Foundation Deed, the Foundation safeguards the purpose of the Lillyan Ziegler Foundation at the time, namely to support and promote classical music on the Zurich square in the broadest sense and in all possible forms. The foundation does not pursue profit-making or self-help purposes.
"
"
Stiftung Eichholz ","
The purpose of the foundation is to establish and operate the Eichholz residential home in Zug. Residents and citizens of the Canton of Zug are primarily entitled to be admitted to the institution.
"
"
Wyss Academy for Nature at the University of Bern ","
The purpose of the foundation is to research, develop and implement solutions for dealing with climate change, biodiversity loss and land use at the interface between nature and humans, combining technical, social, economic and political innovations. It operates worldwide. The foundation pursues a public and charitable purpose. It is not for profit and does not seek profit. Any profits will be used for the purpose of the foundation. The foundation can develop all activities that are conducive to the achievement of its objectives. To this end, it can in particular acquire and sell land, set up companies and participate in companies and mandate third parties. In addition, the foundation can work with other organizations with the same and / or similar purpose.
"
"
Jubilaumsstiftung der Schweizerischen Mobiliar Genossenschaft ","
Promotion of science, the arts and other cultural endeavors through financial contributions to institutions, organizations, groups of people and individuals who are active in these fields in Switzerland.
"
"
Stiftung Albert Anker-Haus Ins ","
Preservation of Albert Anker's place of work and residence as well as existing artistic works and personal items as cultural assets.
"
"
Democratized Data (D2) Stiftung ","
The purpose of the foundation is (i) the promotion, development and further development of the Source network and the corresponding technologies, (ii) the promotion of an ecosystem that is based on the Source network, (ii) the promotion of awareness and training as well as the information of the public on the Source Network, data democratization, data protection and similar issues, (iii) promoting technologies and applications that are built on the Source Network and (iv) holding and managing digital and non-digital assets for these purposes.
"
"
FONDATION DU CINQUANTIEME DU CSP ","
The purpose of the foundation is to support the development of new social projects responding to new needs identified by the Protestant Social Center Vaud or to needs that have not yet been met (for complete goal, cf. deed of foundation).
"
"
Stiftung Hof Rickenbach ","
Purchase of the Rickenbach / LU monastery from the Arenberg Dominican Sisters Congregation; the foundation takes care of the necessary zoning plan changes as well as the conversion and expansion of the monastery with obtaining the necessary permits, all with the aim of giving the buildings to the Hof Obergrut association (later renamed to Hof Rickenbach association) to run a business for people who Are affected by dementia or to make them available to fulfill the purpose of the association; Among other things, the foundation can provide the Hof Obergrut association with financial support, namely help to cover any deficit and to implement projects; financial support for the previous operation of the Hof Obergrut association in Sigigen / Ruswil until operations in Rickenbach Abbey can start; if the foundation is unable to acquire the monastery or if rezoning is not approved, it can acquire another property with the same purpose and support the Hof Obergrut association; Generation of donations for the acquisition of the property, the renovation and expansion as well as for the maintenance of the property, with the aim of making the infrastructure available to the operating association at low cost in order to relieve the operating accounts; Support of projects and institutions in connection with the care and well-being of people with dementia as well as taking over the sponsorship of other projects in this connection and generating funds for them Providing training and advice in the field of caring for people with dementia; Carrying out public relations work and generating donations for this and for other comparable fields of activity; Renting, acquiring, holding or taking over building rights for other properties; Holdings.
"
"
Fondation Firmin Rudaz ","
Operation of a room / apartment leased to the Association Valaisanne de la Main Tendue Valais so that it can fulfill its mission as a hotline for people in distress, a place for training respondents and a meeting place for the latter, or to institutions recognized as being of public interest pursuing similar aims; the other real estate, property of the foundation, will be leased, for rents fixed according to market conditions or at preferential conditions, to institutions or communities pursuing goals of public interest, in favor of the small childhood or youth, alternatively who pursue other activities of a social nature.
"
"
Stiftung zur Forderung der Departemente Technik sowie Architektur, Gestaltung und Bauingenieurwesen der ZHAW ","
The purpose of the foundation is to use the foundation's assets and proceeds primarily to support the development and implementation of training and further education courses in the departments of technology and architecture, design and civil engineering at the Zurich University of Applied Sciences (ZHAW) and the practice-oriented research of these support departments. The funding focuses on the ongoing part-time courses of the former HSZ-T, the development and launch of integrated study models in accordance with the integration agreement between the ZHAW and the HSZ-T of October 24, 2011, and technical further training at the ZHAW.
"
"
Fondation Mary et Philippe Mylona ","
providing financial assistance to charitable institutions.
"
"
Centre pedagogique de Malvilliers ","
The services are intended for children, adolescents and adults with a mental handicap and who may or may not have associated disorders, susceptible to educational and social development. The foundation operates its center and its affiliated structures, and its aims include: a) reception, accommodation, observation, specialized instruction and education b) vocational guidance and pre-training c) vocational training d) socio-educational and pedagogical monitoring of former students in vocational training e) adaptation of services, study and development of support methods that meet the changing needs of the host population.
"
"
Kick Foundation ","
The Foundation 1) strengthens Switzerland as a business location by promoting innovation and entrepreneurship; 2) promotes committed young talents at Swiss schools and universities. The foundation has an exclusively and directly charitable purpose. It does not pursue any commercial purposes and does not strive for a profit.
"
"
Kapellenstiftung Lachen ","
The purpose of the foundation is to enable the Roman Catholic Church to exercise pastoral care in the area of the parish of Lachen, which is under canonical law, and to enable the Roman Catholic residents of this parish area to fulfill their ecclesiastical and religious duties by making the chapel in the Ried and the ecclesiastical properties available as well facilitate the corresponding income; complete definition of purpose according to the statutes.
"
"
Franz Attenhofer-Stiftung ","
The purpose of the foundation is to promote educational opportunities related to Flims or in Flims, especially in future-oriented research areas such as mathematics, computer science, robotics, artificial intelligence, natural sciences or environmental sciences. The educational offer does not have to be aimed exclusively at children and adolescents. In particular, the foundation can develop, finance and / or organize an educational offer, provide financial, personal or ideal support for educational events from third parties, promote permanent or temporary educational projects, demand a cost-covering or profitable remuneration from the participants for its educational offers or in the sense of non-profit and Equal opportunities require a reduced fee or waive a fee altogether. It can also acquire, encumber, manage and sell real estate and intangible property rights and operate one or more commercial businesses.
"
"
Domicil ","
The foundation stimulates integration and social management in the living area. It serves as a housing broker for socially disadvantaged people. The foundation does not pursue profit-making or self-help purposes. The area of activity is the Zurich region.
"
"
Fondation Berthy Butzberger ","
Help the elderly who are alone at home and who, in particular, need help with meals, companionship during leisure hours, medical or paramedical assistance and medico-legal support.
"
"
Fondation Andre et Michel Bouriez ","
The purpose of the Foundation is to award scholarships to candidate doctors, surgeons, biologists, or any other person, within the framework of a medical or scientific training project presented and defended by the candidate. The project presented by the candidate, although in the medical and / or scientific context, perhaps of any nature, of any duration, and to take place in any place. In addition, the Foundation participates in any activity relating to the development (or advancement) of medical science; medical training; medical research; technical development of medical equipment or materials; the organization of colloquiums, conferences or seminars relating to medicine or science; the publication of material relating to medicine or science; the obtaining, holding and use of patents or any act relating to investments in medical equipment or materials, or relating to medical science; and more generally any act or activity relating to medicine or science as well as the transmission and dissemination of acquired knowledge through its support to the greatest number. It may carry out any transaction directly or indirectly linked to its corporate purpose or facilitating its achievement. Within the framework of the goals set, the Foundation works in Switzerland and abroad. The Foundation is not for profit and does not aim for any gain. However, it will be able to carry out any lucrative activity as long as the product of this activity serves the achievement of its disinterested social object. The Foundation has no political, religious or governmental goals.
"
"
Stiftung der Gottfried-Keller-Loge I.O.O.F. Zurich ","
The aim is to support worthy, financially distressed fellow human beings or non-profit organizations that are primarily active in the humanitarian and social field.
"
"
Magnum-Stiftung ","
The purpose of the foundation is to promote credit transactions. These are intended to enable investors to participate in the financing of loans and, if necessary, to transfer such loans to other investors at a later point in time. The foundation can implement the purpose directly or through legal entities (special purpose entities) that it establishes and maintains. The foundation can enter into cooperation with other persons and institutions, merge with other foundations or take over the assets of other legal persons or acquire and hold rights or real estate.
"
"
Stiftung The Spirit of Bern ","
The foundation is intended to enable dialogue and exchange of experience between representatives from business, science and politics in order to jointly discuss socially relevant topics such as questions about information technology, climate change, food security, world trade, education, etc. At the same time, it should also promote the discussion on the future of democracies, the welfare state and a market economy that must be free, but at the same time show solidarity and be environmentally conscious. The aim is to use this dialogue to stimulate sustainable solutions. To this end, the foundation organizes events to enable a forum for this dialogue. The foundation can also support projects for sustainable development through financial support and award recognition in the form of prizes for special achievements. The foundation is not for profit. The foundation is active throughout Switzerland for this purpose. The foundation's profit and capital are dedicated exclusively to the aforementioned purpose. Commercial purposes are excluded.
"
"
Bersinger-Stiftung ","
Social care, especially for the poor, the sick, the elderly and the infirm and serves to support training and further education. The foundation is of a non-profit nature and does not pursue any profit-making purpose.
"
"
Swiss Spine Institute in Liquidation ","
First in Switzerland, on the one hand, promotion and support of all suitable measures for the prophylaxis and therapy of spinal diseases and injuries as well as their interdisciplinary diagnostics and conservative and operative therapy. On the other hand, support for patients suffering from damage to the spine caused by illness or accidents, in particular through contributions to conservative or surgical therapies that are not covered by health insurance, as well as medication and auxiliary equipment.
"
"
Pfyl Stiftung ","
The purpose of the foundation is to promote and finance high-quality, visionary, unique and sustainable projects in research, development and production in Germany in the fields of urban planning, architecture, design and art as well as biology in particular ecology, evolution and nature conservation. A special focus is placed on the training and further education of specialists in Switzerland. The foundation sets up a fund for research, development, production and education and can thus launch and support projects that are appropriate for this purpose. The foundation can launch projects under which research, development, production and teaching are carried out in accordance with the foundation's purpose. The foundation keeps a collection of the results / products from the projects. Donations that correspond to the purpose of the foundation can also be included in the collection. The foundation can transfer the marketing rights for the collection items to third parties. The collection or parts of it should be available to the public.
"
"
Stiftung Musiksommer Weggis ","
Promotion and support of concerts of all musical genres (e.g. the Weggis Sunday concerts) and other cultural events in Weggis in an exclusively non-profit manner; Support for cultural events in the neighboring communities of Greppen and Vitznau.
"
"
Fondation Marlyse et Heinz Paul BLASER-HUGO ","
support for charities, organizations and non-profit institutions working in particular in the following fields: sustainable development mainly in disadvantaged countries of the South, paying particular attention to the Christian ethics of the various projects supported; research projects in the medical fields relating to cancer, cardiology and multiple sclerosis; actions, mainly in Valais and Switzerland, in favor of disadvantaged people, in precarious situations or with disabilities; protection of animals in general as well as endangered species (see statutes for complete purpose)
"
"
Marthe und Paul Ringgenberg-Stiftung ","
The purpose of the foundation is to promote national and international projects for the care, training and education of children, adolescents and young adults without any restrictions on origin and religion. The foundation promotes the support of children, adolescents and young adults before, during and after their training / vocational training. The foundation can acquire, sell, and rent real estate, as well as establish, buy or participate in training, accommodation and utilities in order to promote the above foundation purpose. Within the limits of the above purpose, the foundation can support development and educational projects, make donations and grants, and make support contributions to existing schools and companies that enable training in the sense of the foundation's purpose. The foundation is of a non-profit nature, does not strive for a profit and does not pursue a profit-making purpose.
"
"
Rockefeller Brothers Fund ","
The RBFs grantmaking is organized around three themes: Democratic Practice, Peacebuilding, and Sustainable Development. Though the Fund pursues its three program interests in a variety of geographic contexts, including substantial work in the U.S., it has identified several specific locations on which to concentrate cross-programmatic attention. The Fund refers to these as 'pivotal places': subnational areas, nation-states, or cross-border regions that have special importance with regard to the Funds substantive concerns and whose future will have disproportionate significance for the future of a surrounding region, an ecosystem, or the world. The Fund currently works in two pivotal places: China and the Western Balkans. The Charles E. Culpeper Arts & Culture program, focused on New York, nurtures a vibrant and inclusive arts community in the Funds home city. These six programs reflect board and staff assessment of the challenges facing todays increasingly interdependent world on which strategic philanthropy and the Funds accumulated grantmaking experience can have a meaningful impact.
Through its grantmaking, the Fund supports efforts to expand knowledge, clarify values and critical choices, nurture creative expression, and shape public policy. The Funds programs are intended to develop leaders, strengthen institutions, engage citizens, build community, and foster partnerships that include government, business, and civil society. Respect for cultural diversity and ecological integrity pervades the Funds activities.
The Rockefeller Brothers Fund also manages The Pocantico Center as part of an agreement with the National Trust for Historic Preservation. The Pocantico Center is a venue for conferences and meetings on critical issues related to the Rockefeller Brothers Funds mission.
"
"
Stiftung Fischerhaus Schulgasse 27 in Kleinhuningen ","
Relocation and maintenance of the Fischerhaus Schulgasse 27 building in the interests of Kleinhuningen.
"
"
Alexander und Angelina Blatter-Steffen und Kinder Marie, Martin, Josef und Josephine, sowie Henri Eggs-Blatter Stiftung ","
Supporting social and charitable institutions.
Extended description
The Alexander and Angelina Blatter-Steffen and children Marie, Martin, Josef and Josephine, as well as the Henri Eggs-Blatter Foundation are generally committed to social and charitable organizations that are primarily active in the canton of Valais.
"
